stigmaID,plantID,slide#,cover,day,round,month,year,stigma#,dpurp_pollen,amocan_pollen,aster_pollen,dcand_pollen,unknown_hetero_pollen,date_processed,processed_by,notes
5b_181_6_17july,5B,181,l,17,2,July,2018,6,9,10,0,0,0,9/21/2018,AR,reslided; repressed: pollen near stigma originally on tip; moved from slide 35 to slide 181; too much fuchsin to press adequately.
5b_181_7_17july,5B,181,l,17,2,July,2018,7,14,14,0,0,0,9/21/2018,AR,reslided; repressed: pollen near stigma originally on tip; moved from slide 35 to slide 181; too much fuchsin to press adequately.
5b_181_8_17july,5B,181,l,17,2,July,2018,8,7,7,0,0,1,9/21/2018,AR,reslided; repressed: pollen near stigma originally on tip; moved from slide 35 to slide 181; too much fuchsin to press adequately.
11b_39_1_17july,11B,39,l,17,2,July,2018,1,16,20,0,0,1,9/21/2018,AR,repressed; pollen near stigma tip originally on tip
11b_39_2_17july,11B,39,l,17,2,July,2018,2,21,20,0,0,0,9/21/2018,AR,repressed; pollen near stigma tip originally on tip
11b_39_3_17july,11B,39,l,17,2,July,2018,3,7,31,0,0,0,9/21/2018,AR,repressed; pollen near stigma tip originally on tip
11b_39_4_17july,11B,39,l,17,2,July,2018,4,NA,NA,NA,NA,NA,9/21/2018,AR,repressed; tip torn before repressing with no lobed tissue present
11b_39_5_17july,11B,39,l,17,2,July,2018,5,18,8,0,0,1,9/21/2018,AR,repressed
12b_39_1_17july,12B,39,r,17,2,July,2018,1,1,0,0,0,0,9/21/2018,AR,repressed
12b_39_2_17july,12B,39,r,17,2,July,2018,2,0,2,0,0,0,9/21/2018,AR,repressed
12b_39_3_17july,12B,39,r,17,2,July,2018,3,NA,NA,NA,NA,NA,9/21/2018,AR,repressed
12b_39_4_17july,12B,39,r,17,2,July,2018,4,4,19,2,1,5,9/21/2018,AR,repressed
12b_39_5_17july,12B,39,r,17,2,July,2018,5,3,15,0,0,0,9/25/2018,AR,
12b_39_6_17july,12B,39,r,17,2,July,2018,6,4,16,0,0,12,9/25/2018,AR,
12b_39_7_17july,12B,39,r,17,2,July,2018,7,1,10,0,1,15,9/25/2018,AR,
12b_39_8_17july,12B,39,r,17,2,July,2018,8,15,24,1,2,0,9/25/2018,AR,
15ub_40_1_17july,15UB,40,l,17,2,July,2018,1,12,2,0,0,1,9/25/2018,AR,
